st_case,crashdate,state,statename,countyname,totalvehicles,fatals,persons,peds
10288,1/26/2014 5:40 AM,1,Alabama,JEFFERSON (73),3,1,3,0
10289,6/7/2014 8:55 AM,1,Alabama,CONECUH (35),2,1,2,0
10290,6/7/2014 2:20 AM,1,Alabama,FRANKLIN (59),1,1,1,0
10291,6/5/2014 12:30 AM,1,Alabama,BIBB (7),1,1,1,0
10292,6/4/2014 7:10 PM,1,Alabama,WALKER (127),1,1,1,0
10293,6/4/2014 12:00 PM,1,Alabama,JEFFERSON (73),1,1,1,0
10294,6/3/2014 7:15 PM,1,Alabama,ETOWAH (55),1,1,1,0
10295,5/30/2014 6:57 PM,1,Alabama,HOUSTON (69),1,1,1,0
10296,6/2/2014 3:15 PM,1,Alabama,WALKER (127),2,1,1,2
10297,6/2/2014 1:10 PM,1,Alabama,CHEROKEE (19),1,1,1,0
10298,6/1/2014 2:05 PM,1,Alabama,CHILTON (21),2,1,2,0
10299,6/1/2014 1:15 AM,1,Alabama,BLOUNT (9),1,1,3,0
10300,6/1/2014 3:13 AM,1,Alabama,CHILTON (21),3,1,4,0
10301,5/31/2014 10:05 AM,1,Alabama,HOUSTON (69),2,1,3,0
10302,5/29/2014 3:50 PM,1,Alabama,PIKE (109),2,1,2,0
10303,5/28/2014 7:41 PM,1,Alabama,CLARKE (25),1,1,2,0
10304,5/24/2014 1:20 PM,1,Alabama,MADISON (89),2,1,2,0
10305,5/23/2014 11:05 PM,1,Alabama,SHELBY (117),1,1,1,0
10306,5/19/2014 3:25 PM,1,Alabama,HOUSTON (69),2,1,1,1
10307,5/22/2014 2:06 PM,1,Alabama,BALDWIN (3),3,1,3,0
10308,5/21/2014 6:55 AM,1,Alabama,CULLMAN (43),2,1,2,0
10309,5/18/2014 3:18 PM,1,Alabama,JEFFERSON (73),1,1,1,0
10310,5/12/2014 10:30 PM,1,Alabama,TUSCALOOSA (125),1,1,2,0
10311,5/2/2014 10:30 AM,1,Alabama,BALDWIN (3),1,1,1,0
10312,5/2/2014 11:20 AM,1,Alabama,CLARKE (25),1,1,1,0
10313,4/16/2014 2:25 PM,1,Alabama,BALDWIN (3),2,1,2,0
