CaseNumber,Make,Model,Year,LicenseState,Death,Speeding,SpeedLimit,RoadConditions,Violation
60111,Honda,CR-V,2005,California,1,No,35,Dry,None
60112,Toyota,Scion tC (2005-2011 only.  See Scion for 2012 on.),2005,California,1,No,65,Dry,None
60114,Mercedes-Benz,C Class (94 on),2013,California,1,"Yes, Too Fast for Conditions",65,Wet,None
60114,Toyota,4-Runner,2001,California,0,No,65,Wet,None
60115,Chevrolet,"C, K, R, V-series pickup/Silverado",2006,California,1,No,35,Dry,None
60116,Mazda,626,1995,California,1,No,55,Dry,None
60116,Toyota,Tacoma,2004,California,0,No,55,Dry,None
60116,Toyota,RAV4 *,2018,California,0,No,55,Dry,None
60117,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2013,California,1,"Yes, Too Fast for Conditions",65,Dry,None
60117,Freightliner,Medium/Heavy - CBE,2010,California,0,No,65,Dry,None
60118,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",1998,California,1,No,70,Dry,None
60119,Toyota,RAV4 *,2015,California,1,No,70,Dry,None
60120,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,No,45,Dry,None
60121,GMC,Jimmy/Typhoon/Envoy,1996,California,1,No,50,Wet,None
60122,Toyota,Tundra,2010,California,0,No,40,Dry,None
60123,Toyota,Tacoma,2000,California,1,No,35,Wet,None
60124,Toyota,Pickup,1995,California,1,"Yes, Too Fast for Conditions",70,Dry,None
60124,Freightliner,Medium/Heavy - CBE,2014,California,0,No,70,Dry,None
60126,Chevrolet,"C, K, R, V-series pickup/Silverado",2012,Nevada,0,"Yes, Too Fast for Conditions",55,Not Reported,None
60126,Freightliner,Medium/Heavy - CBE,2019,Nevada,1,No,55,Not Reported,None
60127,GMC,"C, K, R, V-series pickup/     Sierra",1996,California,0,"Yes, Too Fast for Conditions",65,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60127,Nissan/Datsun,Altima,1997,California,1,No,65,Dry,None
60128,Nissan/Datsun,Altima,2002,California,1,"Yes, Too Fast for Conditions",65,Dry,None
60129,Subaru,Outback (2003 on)(see 034 for prior to 2003),2006,California,1,"Yes, Too Fast for Conditions",50,Wet,None
60130,Toyota,Corolla,2017,California,1,No,70,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60130,KIA,Soul,2015,California,0,No,70,Dry,None
60131,Honda,Pilot,2006,California,0,No,40,Dry,None
60131,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",1995,California,1,No,35,Dry,None
60132,GMC,"C, K, R, V-series pickup/     Sierra",2015,California,0,Reported as Unknown,55,Dry,None
60132,Toyota,RAV4 *,2018,New York,1,No,55,Dry,None
60133,Honda,Element,2003,California,1,No,65,Wet,None
60133,Jeep / Kaiser-Jeep / Willys- Jeep,Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),2003,California,1,No,65,Wet,None
60134,Fiat,500/500c,2012,California,1,No,65,Wet,None
60135,GMC,Suburban/Yukon XL (2000 on) (1950-2003 only; see 422 for 2004 on),2002,California,1,"Yes, Too Fast for Conditions",55,Dry,None
60136,Chevrolet,"C, K, R, V-series pickup/Silverado",1982,California,1,"Yes, Too Fast for Conditions",55,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60136,Ford,F-Series pickup,2016,No Driver Present/Unknown if Driver Present,0,No Driver Present/Unknown if Driver Present,55,Dry,No Driver Present/Unknown if Driver Present
60137,Pontiac,G6,2006,California,1,No,55,Dry,None
60137,Toyota,Prius *,2006,California,0,No,55,Dry,None
60137,Dodge,Ram Pickup,2019,California,0,No,55,Dry,None
60138,Nissan/Datsun,Quest,2016,California,1,"Yes, Exceeded Speed Limit",40,Dry,None
60139,Toyota,Scion tC (2005-2011 only.  See Scion for 2012 on.),2007,California,1,"Yes, Too Fast for Conditions",55,Dry,None
60140,Volvo,"70 Series (For XC70 for 2014 on, use model code 402)",1999,California,0,"Yes, Too Fast for Conditions",55,Wet,None
60141,Chevrolet,"Impala/Caprice (For SS from 2014 on, use 20-021.)",2015,California,0,No,60,Dry,None
60142,Honda,750 cc or greater,2006,California,1,No,45,Dry,None
