CaseNumber,State,County,City,Lat,Long,Year,Month,MonthName,Day,WeekDay,Hour,Function,Route,Fatalities,People,Pedestrian,Vehicle_total,Vehicle_ord,DrunkDriver,CollisionType,LightConditions,Deadly
61633,California,LOS ANGELES,LOS ANGELES,34.25686111,-118.4354222,2019,5,May,26,Sunday,4,Interstate,Interstate,1,3,0,2,Double,1,Angle ,Dark - Not Lighted,0.333333333
61634,California,ALAMEDA,OAKLAND,37.83683333,-122.2963361,2019,9,September,6,Friday,4,Interstate,Interstate,1,4,1,3,Multiple,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,0.25
61635,California,LOS ANGELES,NOT APPLICABLE,34.38858889,-118.0852417,2019,7,July,19,Friday,6,Major Collector,Unknown,1,1,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
61636,California,IMPERIAL,NOT APPLICABLE,32.73481111,-115.5345056,2019,5,May,27,Monday,19,Principal Arterial - Other,Unknown,1,6,0,4,Multiple,0,Angle ,Daylight,0.166666667
61637,California,SAN DIEGO,NOT APPLICABLE,33.25796667,-117.2371889,2019,9,September,2,Monday,3,Principal Arterial - Other,State Highway,1,2,0,2,Double,0,Angle ,Dark - Lighted,0.5
61638,California,RIVERSIDE,CORONA,33.85224722,-117.5348028,2019,8,August,13,Tuesday,4,Interstate,Interstate,1,3,0,3,Multiple,0,Sideswipe - Same Direction,Dark - Not Lighted,0.333333333
61640,California,SAN BERNARDINO,NOT APPLICABLE,34.07019722,-117.4838333,2019,7,July,27,Saturday,22,Minor Collector,Local Street - Municipality,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61641,California,CALAVERAS,NOT APPLICABLE,38.20673333,-120.700025,2019,9,September,13,Friday,22,Minor Arterial,State Highway,1,1,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
61642,California,NAPA,NOT APPLICABLE,38.60555,-122.2802472,2019,9,September,18,Wednesday,18,Major Collector,Unknown,1,3,0,2,Double,0,Angle ,Daylight,0.333333333
61643,California,SAN DIEGO,EL CAJON,32.80423889,-116.9230417,2019,7,July,25,Thursday,21,Interstate,Interstate,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61644,California,TEHAMA,RED BLUFF,40.146225,-122.2152167,2019,9,September,20,Friday,19,Principal Arterial - Other,State Highway,1,1,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61645,California,ORANGE,HUNTINGTON BEACH,33.713375,-117.9891722,2019,7,July,19,Friday,22,Principal Arterial - Other,State Highway,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61646,California,YOLO,WEST SACRAMENTO,38.56292222,-121.5279333,2019,7,July,6,Saturday,20,Principal Arterial - Other,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61647,California,SAN DIEGO,CHULA VISTA,32.61191667,-117.0683806,2019,4,April,12,Friday,15,Major Collector,Unknown,1,2,0,2,Double,0,Angle ,Daylight,0.5
61648,California,SAN DIEGO,SAN DIEGO,32.58394722,-117.0999861,2019,4,April,25,Thursday,20,Principal Arterial - Other,Unknown,1,2,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,0.5
61649,California,STANISLAUS,TURLOCK,37.50728889,-120.8398528,2019,7,July,25,Thursday,21,Minor Collector,Local Street - Municipality,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61650,California,ORANGE,STANTON,33.77281111,-117.9927528,2019,8,August,7,Wednesday,22,Principal Arterial - Other,State Highway,1,4,2,3,Multiple,1,Front-to-Rear ,Dark - Lighted,0.25
61651,California,ORANGE,HUNTINGTON BEACH,33.72990278,-118.0327333,2019,6,June,26,Wednesday,19,Principal Arterial - Other,Unknown,1,2,0,2,Double,1,Angle ,Daylight,0.5
61652,California,LOS ANGELES,LONG BEACH,33.78271389,-118.215075,2019,9,September,25,Wednesday,10,Minor Arterial,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
61653,California,SAN JOAQUIN,STOCKTON,37.94774722,-121.2884444,2019,5,May,10,Friday,20,Principal Arterial - Other,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61654,California,SAN BERNARDINO,HESPERIA,34.47063889,-117.3206028,2019,6,June,15,Saturday,3,Principal Arterial - Other,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61655,California,SAN JOAQUIN,STOCKTON,38.02104444,-121.3203917,2019,6,June,3,Monday,22,Principal Arterial - Other,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61657,California,YOLO,WEST SACRAMENTO,38.57536944,-121.5591139,2019,4,April,10,Wednesday,1,Principal Arterial - Other,U.S. Highway,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
